,date_acquired,is_pre,diff_to_date_event,coverage_of_AOI,combined_metric,is_post
20200509_145404_0f36,2020-05-09 09:54:04.235285-05:00,True,-6 days +02:16:04.235285,0.5380978720601315,3.753115047812715,False
20200509_164705_1034,2020-05-09 11:47:05.393314-05:00,True,-6 days +04:09:05.393314,0.25475732306889426,4.807991618442016,False
20200509_145405_0f36,2020-05-09 09:54:05.158556-05:00,True,-6 days +02:16:05.158556,0.15823152413067498,5.272569753523596,False
20200509_164704_1034,2020-05-09 11:47:04.365185-05:00,True,-6 days +04:09:04.365185,0.12460848504858046,5.328598870164473,False
20200509_164706_1034,2020-05-09 11:47:06.421967-05:00,True,-6 days +04:09:06.421967,0.002314169677897742,5.817752326299984,False
20200506_163431_0e3a,2020-05-06 11:34:31.669136-05:00,True,-9 days +03:56:31.669136,0.6325477986309975,6.305553375661196,False
20200506_163432_0e3a,2020-05-06 11:34:32.721906-05:00,True,-9 days +03:56:32.721906,0.30755947741718703,7.605494475678475,False
20200506_163430_0e3a,2020-05-06 11:34:30.616889-05:00,True,-9 days +03:56:30.616889,0.030842564001128298,8.712386492965395,False
20200505_165311_1026,2020-05-05 11:53:11.705882-05:00,True,-10 days +04:15:11.705882,0.18253160776307142,9.092654750869011,False
20200505_165310_1026,2020-05-05 11:53:10.689812-05:00,True,-10 days +04:15:10.689812,0.03306798879693762,9.690520986802989,False
20200504_164752_1005,2020-05-04 11:47:52.676631-05:00,True,-11 days +04:09:52.676631,0.24757436274931593,9.836176199106903,False
20200501_165736_04_1069,2020-05-01 11:57:36.043862-05:00,True,-14 days +04:19:36.043862,0.847458479112326,10.429887798110883,False
20200502_171123_93_1064,2020-05-02 12:11:23.938251-05:00,True,-13 days +04:33:23.938251,0.5410476066283788,10.645949177062874,False
20200504_145425_0f36,2020-05-04 09:54:25.675839-05:00,True,-11 days +02:16:25.675839,0.03212058548064698,10.776776039570468,False
20200504_145426_0f36,2020-05-04 09:54:26.600159-05:00,True,-11 days +02:16:26.600159,0.02272336459525103,10.814354224963905,False
20200502_164531_0f25,2020-05-02 11:45:31.178676-05:00,True,-13 days +04:07:31.178676,0.08392531881084866,12.492410082673272,False
20200502_164532_0f25,2020-05-02 11:45:32.206805-05:00,True,-13 days +04:07:32.206805,0.06373995905966856,12.573139622036788,False
20200501_164428_1011,2020-05-01 11:44:28.616595-05:00,True,-14 days +04:06:28.616595,0.14822425660519234,13.235938429655619,False
20200501_164427_1011,2020-05-01 11:44:27.585845-05:00,True,-14 days +04:06:27.585845,0.10439669466596818,13.411260607389368,False
20200501_165734_02_1069,2020-05-01 11:57:34.025353-05:00,True,-14 days +04:19:34.025353,0.03180072680816144,13.692542169700225,False
20200501_165738_06_1069,2020-05-01 11:57:38.062371-05:00,True,-14 days +04:19:38.062371,0.0014693267157498053,13.813821045324502,False
20200519_161828_27_2271,2020-05-19 11:18:28.279975-05:00,False,4 days 03:29:28.279975,0.5295595047778463,2.0272281843029667,True
20200519_163446_0e0f,2020-05-19 11:34:46.481615-05:00,False,4 days 03:45:46.481615,0.4841634718184199,2.2201340943814123,True
20200519_163447_0e0f,2020-05-19 11:34:47.538056-05:00,False,4 days 03:45:47.538056,0.47678451521909454,2.249662148105103,True
20200518_164747_103b,2020-05-18 11:47:47.649830-05:00,False,3 days 03:58:47.649830,0.20138647696648052,2.3602833725738925,True
20200518_163149_0e3a,2020-05-18 11:31:49.377670-05:00,False,3 days 03:42:49.377670,0.1701975894051758,2.4739478098561487,True
20200518_164748_103b,2020-05-18 11:47:48.683202-05:00,False,3 days 03:58:48.683202,0.12989822778640542,2.6462483296182677,True
20200518_163150_0e3a,2020-05-18 11:31:50.444596-05:00,False,3 days 03:42:50.444596,0.11821498684672856,2.6818905687704935,True
20200519_161825_88_2271,2020-05-19 11:18:25.887907-05:00,False,4 days 03:29:25.887907,0.3442882182892825,2.7682856442849992,True
20200519_145255_0f36,2020-05-19 09:52:55.221542-05:00,False,4 days 02:03:55.221542,0.25088245213787574,3.0825259963327567,True
20200519_145254_0f36,2020-05-19 09:52:54.298271-05:00,False,4 days 02:03:54.298271,0.22922516040802007,3.169144477245234,True
20200519_163448_0e0f,2020-05-19 11:34:48.595021-05:00,False,4 days 03:45:48.595021,1.2922367517056704e-05,4.156760752902617,True
20200519_163445_0e0f,2020-05-19 11:34:45.424650-05:00,False,4 days 03:45:45.424650,9.391999167288521e-07,4.156771991464222,True
